,Rshoulder_x,Rshoulder_y,Lshoulder_x,Lshoulder_y,Rhip_x,Rhip_y,Lhip_x,Lhip_y,Rknee_x,Rknee_y,Lknee_x,Lknee_y,Rankle_x,Rankle_y,Lankle_x,Lankle_y,Rknee_angle,Lknee_angle,Rhip_angle,Lhip_angle,Relbow_x,Relbow_y,Lelbow_x,Lelbow_y,Rwrist_x,Rwrist_y,Lwrist_x,Lwrist_y,Relbow_angle,Lelbow_angle,labels
0,0.32009798288345337,0.8025047183036804,0.3071442246437073,0.8264147043228149,0.47983652353286743,0.7359660863876343,0.4828503727912903,0.7349165678024292,0.5820148587226868,0.8247810006141663,0.5855318903923035,0.833017885684967,0.7041942477226257,0.8604129552841187,0.7086524963378906,0.8700382113456726,24.7390445859929,26.958050223094148,63.6116793056883,71.20124312735409,0.30797576904296875,0.9015771746635437,0.30797576904296875,0.9015771746635437,0.24816513061523438,0.9181039333343506,0.24816513061523438,0.9181039333343506,67.57769540011549,75.18741768775544,2.0
1,0.32225289940834045,0.8064346313476562,0.31107035279273987,0.8292322158813477,0.48392170667648315,0.734360933303833,0.4847959876060486,0.734056830406189,0.5883829593658447,0.8236103653907776,0.592384397983551,0.8316596150398254,0.707676351070404,0.8624781966209412,0.7117677927017212,0.8730678558349609,22.46336269069255,23.0847496245743,64.53768813120384,70.92997969997404,0.30204877257347107,0.9061840772628784,0.30204877257347107,0.9061840772628784,0.2436932772397995,0.9239627718925476,0.2436932772397995,0.9239627718925476,61.6057400383844,66.3693767730494,2.0
2,0.3263112008571625,0.8049001097679138,0.3157500624656677,0.8301129937171936,0.4904255270957947,0.7373836636543274,0.49196702241897583,0.7378539443016052,0.5967913866043091,0.8227116465568542,0.6004622578620911,0.827584445476532,0.713161051273346,0.8631571531295776,0.7218493223190308,0.87533038854599,19.571573331566697,18.120780638296736,61.09921885638349,67.22677231203916,0.3024434745311737,0.9104617834091187,0.3024434745311737,0.9104617834091187,0.2414611279964447,0.919843316078186,0.2414611279964447,0.919843316078186,68.51369685429864,71.85075125183204,2.0
3,0.3256637454032898,0.8121665120124817,0.3168267607688904,0.8314279913902283,0.4906824231147766,0.7460944652557373,0.49327725172042847,0.7451120018959045,0.5987083911895752,0.8305842280387878,0.6017816662788391,0.8385829925537109,0.7164673209190369,0.8641807436943054,0.7221512198448181,0.8731805682182312,22.10643581655512,24.707081713080186,59.85057129258476,66.81015216223865,0.3013795018196106,0.9124823212623596,0.3013795018196106,0.9124823212623596,0.239353209733963,0.9222439527511597,0.239353209733963,0.9222439527511597,67.4479577541851,70.26622430559468,2.0
4,0.3269621729850769,0.8129898905754089,0.3165142238140106,0.8334318399429321,0.4917007386684418,0.7505929470062256,0.4937029778957367,0.7481666207313538,0.5993430614471436,0.8355008363723755,0.6019497513771057,0.8414419293403625,0.7183352708816528,0.8649075031280518,0.7230647206306458,0.8723391890525818,24.38482504971472,26.43989056006336,59.01110871386378,66.44857366421532,0.30185624957084656,0.9150202870368958,0.30185624957084656,0.9150202870368958,0.24072465300559998,0.9234590530395508,0.24072465300559998,0.9234590530395508,68.31665989799077,71.9554493984611,2.0
5,0.32713329792022705,0.8165427446365356,0.3169633448123932,0.8324985504150391,0.49318504333496094,0.7452413439750671,0.49391093850135803,0.7423055768013,0.5988128781318665,0.8341048359870911,0.601674497127533,0.8384519815444946,0.7182870507240295,0.8646868467330933,0.7230223417282104,0.8718424439430237,25.71570257121155,26.35432633586791,63.31184946388497,68.74792598669993,0.3034401834011078,0.9122989773750305,0.3034401834011078,0.9122989773750305,0.2428615540266037,0.9205831289291382,0.2428615540266037,0.9205831289291382,68.31542395922875,72.59498162763188,2.0
6,0.3277081251144409,0.8191078305244446,0.31865838170051575,0.8334064483642578,0.4952995181083679,0.7416049242019653,0.4969332814216614,0.7397779226303101,0.5985954999923706,0.8318799138069153,0.6016640663146973,0.8375177979469299,0.7162373661994934,0.8645079135894775,0.7233158349990845,0.8727538585662842,25.65029923418905,26.868979351107413,65.96992274083357,70.73056576187425,0.303989440202713,0.914489209651947,0.303989440202713,0.914489209651947,0.2429000437259674,0.9197322726249695,0.2429000437259674,0.9197322726249695,71.12993753499387,74.8399035207153,2.0
7,0.32989320158958435,0.8208186626434326,0.3221070468425751,0.8341604471206665,0.49874910712242126,0.7411187887191772,0.5004653930664062,0.7420490384101868,0.6014889478683472,0.8321804404258728,0.6035213470458984,0.8408628106117249,0.720305323600769,0.8657118082046509,0.7259093523025513,0.8754905462265015,25.791925845514044,27.998122512783056,66.81889051113595,71.10978360916077,0.3039875626564026,0.9151299595832825,0.3039875626564026,0.9151299595832825,0.24075841903686523,0.9201744198799133,0.24075841903686523,0.9201744198799133,70.07924458455813,72.82464968816652,2.0
8,0.32973459362983704,0.8196878433227539,0.3230207562446594,0.8340885043144226,0.49600347876548767,0.7370348572731018,0.4993325173854828,0.7414852976799011,0.6011385321617126,0.8318918347358704,0.6025366187095642,0.8406749367713928,0.7207399606704712,0.8660880923271179,0.726323664188385,0.8761693239212036,26.1018077467036,27.864110036953093,68.49018976921835,71.57323496001494,0.301218718290329,0.9115403294563293,0.301218718290329,0.9115403294563293,0.23976659774780273,0.9208664298057556,0.23976659774780273,0.9208664298057556,64.12341306370956,65.64905822172605,2.0
9,0.32308104634284973,0.8069917559623718,0.31515946984291077,0.8331658244132996,0.4855406880378723,0.7260501384735107,0.4897230565547943,0.7353347539901733,0.5931438207626343,0.8266664743423462,0.5962990522384644,0.8364943265914917,0.713805615901947,0.862118661403656,0.7206214666366577,0.8708564639091492,26.704609471034928,28.05587724598726,69.56184256284071,72.77410684702701,0.30147236585617065,0.9083986282348633,0.30147236585617065,0.9083986282348633,0.2434101104736328,0.9195268750190735,0.2434101104736328,0.9195268750190735,67.121050580967,68.8391825391621,2.0
