,Rshoulder_x,Rshoulder_y,Lshoulder_x,Lshoulder_y,Rhip_x,Rhip_y,Lhip_x,Lhip_y,Rknee_x,Rknee_y,Lknee_x,Lknee_y,Rankle_x,Rankle_y,Lankle_x,Lankle_y,Rknee_angle,Lknee_angle,Rhip_angle,Lhip_angle,labels
0,0.432422399520874,0.6227043867111206,0.5389513969421387,0.6236035823822021,0.4564642012119293,0.7626263499259949,0.5152982473373413,0.7616433501243591,0.39486876130104065,0.7578794956207275,0.5714007616043091,0.7540050148963928,0.4154590666294098,0.8834920525550842,0.5460747480392456,0.8824536800384521,103.71587922671374,108.9069737959655,104.15631775487972,107.47634600014659,1.0
1,0.43344563245773315,0.6137939691543579,0.5395399928092957,0.6143268942832947,0.45746102929115295,0.7566010355949402,0.516511082649231,0.7566148042678833,0.39487117528915405,0.7563695311546326,0.5721756219863892,0.7516855001449585,0.415677934885025,0.8833890557289124,0.5459078550338745,0.8815637230873108,99.51478389358458,106.49434817677306,99.7578479923132,104.25400232362344,1.0
2,0.43375319242477417,0.6205884218215942,0.5407817959785461,0.6203141808509827,0.4572675824165344,0.7622905373573303,0.5165513753890991,0.7601868510246277,0.39465630054473877,0.7564075589179993,0.572355329990387,0.7530553936958313,0.4157229959964752,0.8837937116622925,0.546004056930542,0.8819020986557007,104.7581648430408,108.84116726648918,104.78971434516649,107.11055709694674,1.0
3,0.4333292841911316,0.6166568398475647,0.539610743522644,0.6155207753181458,0.45732468366622925,0.7590847015380859,0.516166090965271,0.7576156258583069,0.393940269947052,0.7532190084457397,0.5732837319374084,0.753974199295044,0.41578856110572815,0.8835184574127197,0.5464084148406982,0.8817386627197266,104.80584899947323,105.52685762175587,104.85023213295003,103.01684005131531,1.0
4,0.4328603148460388,0.6152889728546143,0.536551296710968,0.6121105551719666,0.45527419447898865,0.7582616209983826,0.5135145783424377,0.757172167301178,0.39204543828964233,0.7523622512817383,0.5734078288078308,0.7542489171028137,0.4164094030857086,0.8821654915809631,0.5462528467178345,0.8805059194564819,105.96106014854183,104.93235531177602,104.24014250503475,101.81784190475143,1.0
5,0.43277478218078613,0.6136146783828735,0.5340074300765991,0.6086618900299072,0.45396462082862854,0.7650802135467529,0.5117617845535278,0.7611466646194458,0.3892044126987457,0.7536186575889587,0.5745687484741211,0.749658465385437,0.41721171140670776,0.8820642828941345,0.5456404089927673,0.8822483420372009,112.3372267359495,112.6734131836537,108.0004559654447,108.66573851559002,1.0
6,0.431334912776947,0.6038197875022888,0.5387011766433716,0.6022670269012451,0.4547724723815918,0.7531554102897644,0.5124990344047546,0.7519960403442383,0.3939574360847473,0.7503896951675415,0.5718501806259155,0.7476943135261536,0.41724497079849243,0.8828234076499939,0.5459482669830322,0.8833397626876831,102.57697515994639,104.9561679926508,101.52343067993748,104.07159034857817,1.0
7,0.42846375703811646,0.6105079054832458,0.53962641954422,0.6084165573120117,0.45563921332359314,0.7628945708274841,0.513470470905304,0.7593579888343811,0.39117565751075745,0.7520384192466736,0.5726374387741089,0.7508333921432495,0.417192280292511,0.8829694986343384,0.5460091829299927,0.8840614557266235,110.7979007268951,109.50133795925235,109.67073641694962,108.02948154994942,1.0
8,0.4290848672389984,0.6077870726585388,0.5401151776313782,0.6066382527351379,0.455327570438385,0.7579614520072937,0.5134305953979492,0.7554776668548584,0.391182541847229,0.751848578453064,0.5726757049560547,0.7510645389556885,0.4169144630432129,0.8825948238372803,0.5461305975914001,0.8844688534736633,106.57769330174077,105.51391449156033,105.35596309323792,104.42430965329339,1.0
9,0.42894452810287476,0.6128283739089966,0.540235161781311,0.6108762621879578,0.4552268981933594,0.7651145458221436,0.5130313634872437,0.7618743181228638,0.3914007246494293,0.7514675855636597,0.5720394253730774,0.7495498061180115,0.4161122739315033,0.8824024796485901,0.5462461113929749,0.8841794729232788,112.75674812142132,112.64299845058119,111.86089567126008,112.01013738010752,1.0
10,0.4286886751651764,0.6098612546920776,0.5397394895553589,0.6094208359718323,0.4542917311191559,0.7597787380218506,0.5122362375259399,0.7584134936332703,0.39231857657432556,0.7485085129737854,0.5718799829483032,0.7473692297935486,0.4160612225532532,0.8821694850921631,0.5464375019073486,0.8843536376953125,110.37955140879089,111.0124680920067,109.99850546161265,110.94942699299477,1.0
11,0.43228426575660706,0.6138147115707397,0.5364657640457153,0.6117230653762817,0.45498722791671753,0.7686131596565247,0.5122313499450684,0.766058623790741,0.3946783244609833,0.7480701208114624,0.5723863244056702,0.7462655901908875,0.41556400060653687,0.8804400563240051,0.5462490320205688,0.8831002712249756,117.77675684464725,119.02697598269305,117.1539955287664,117.13691881392865,1.0
12,0.43569812178611755,0.614323079586029,0.5365515947341919,0.6136478185653687,0.45731717348098755,0.7641835808753967,0.5136513113975525,0.7633601427078247,0.3936498761177063,0.7486771941184998,0.5732375383377075,0.7492702603340149,0.4144023358821869,0.8809309005737305,0.5468882322311401,0.8819288611412048,112.6058777218575,114.5380687845902,111.89700682604271,112.00057522891804,1.0
13,0.43580809235572815,0.6165942549705505,0.538032054901123,0.6166102290153503,0.4592936635017395,0.7692326307296753,0.5162525773048401,0.7653952836990356,0.3946605324745178,0.7496392726898193,0.5726958513259888,0.7487583756446838,0.4147047996520996,0.8825778961181641,0.5469164848327637,0.8842852115631104,115.43891313437553,117.19302625847536,115.61170580003602,114.75105059712361,1.0
14,0.43590784072875977,0.6137893795967102,0.538931131362915,0.6168240904808044,0.45642536878585815,0.7664111256599426,0.5145792365074158,0.7648486495018005,0.39458733797073364,0.7496861219406128,0.5726154446601868,0.749332845211029,0.41520076990127563,0.8827998042106628,0.5466999411582947,0.8853741884231567,113.93705502167089,115.7532645796315,112.7909754903481,114.30999492743177,1.0
15,0.4359981417655945,0.6174659132957458,0.5393930077552795,0.6180621385574341,0.4569982588291168,0.770255446434021,0.5151116251945496,0.7673028707504272,0.39461833238601685,0.7501155734062195,0.5727161169052124,0.7491615414619446,0.41513365507125854,0.8830499053001404,0.5468406081199646,0.8856103420257568,116.66616065845471,118.21852821025178,115.7190700390569,116.72174897436636,1.0
16,0.43913617730140686,0.6071516275405884,0.5372580289840698,0.6068492531776428,0.4587489068508148,0.7587544322013855,0.5130971074104309,0.7598670721054077,0.39524418115615845,0.7515552043914795,0.5725144147872925,0.7488430738449097,0.4159003794193268,0.883027195930481,0.546958863735199,0.8852598071098328,105.3967588255703,111.12135249714778,103.83910269011416,109.48356629028024,1.0
